Actual_dt,Actual_Value,ORA
2015-09-08,251,Wiltshire
2015-09-08,427,Devon
2015-09-08,315,Dorset
2015-09-08,133,Gloucestershire
2015-09-08,183,Somerset
2015-09-09,2028,Trust
2015-09-09,274,Wiltshire
2015-09-09,119,Gloucestershire
2015-09-09,305,Dorset
2015-09-09,504,Devon
2015-09-09,404,BNSSG
2015-09-09,244,Cornwall
2015-09-09,178,Somerset
2015-09-10,261,Wiltshire
2015-09-10,2118,Trust
2015-09-10,237,Cornwall
2015-09-10,317,Dorset
2015-09-10,452,BNSSG
2015-09-10,140,Gloucestershire
2015-09-10,535,Devon
2015-09-10,171,Somerset
2015-09-11,148,Gloucestershire
2015-09-11,347,Dorset
2015-09-11,289,Wiltshire
2015-09-11,236,Cornwall
2015-09-11,2159,Trust
2015-09-11,463,BNSSG
2015-09-11,161,Somerset
2015-09-11,514,Devon
2015-09-12,265,Cornwall
2015-09-12,336,Dorset
2015-09-12,528,Devon
2015-09-12,566,BNSSG
2015-09-12,144,Gloucestershire
2015-09-12,2310,Trust
2015-09-12,288,Wiltshire
2015-09-12,180,Somerset
2015-09-13,513,Devon
2015-09-13,261,Cornwall
2015-09-13,198,Somerset
2015-09-13,2209,Trust
2015-09-13,128,Gloucestershire
2015-09-13,511,BNSSG
2015-09-13,269,Wiltshire
2015-09-13,329,Dorset
2015-09-14,322,Dorset
2015-09-14,277,Wiltshire
2015-09-14,239,Cornwall
2015-09-14,195,Somerset
2015-09-14,2127,Trust
2015-09-14,508,Devon
2015-09-14,432,BNSSG
2015-09-14,151,Gloucestershire
2015-09-15,455,BNSSG
2015-09-15,176,Somerset
2015-09-15,235,Cornwall
2015-09-15,128,Gloucestershire
2015-09-15,2110,Trust
2015-09-15,282,Wiltshire
2015-09-15,530,Devon
2015-09-15,302,Dorset
2015-09-16,246,Cornwall
2015-09-16,321,Dorset
2015-09-16,483,Devon
2015-09-16,264,Wiltshire
2015-09-16,453,BNSSG
2015-09-16,138,Gloucestershire
2015-09-16,2081,Trust
2015-09-16,175,Somerset
2015-09-17,468,BNSSG
2015-09-17,239,Cornwall
2015-09-17,275,Wiltshire
2015-09-17,354,Dorset
2015-09-17,2129,Trust
2015-09-17,130,Gloucestershire
2015-09-17,483,Devon
2015-09-17,176,Somerset
2015-09-18,303,Wiltshire
2015-09-18,467,BNSSG
2015-09-18,136,Gloucestershire
2015-09-18,2186,Trust
2015-09-18,191,Somerset
2015-09-18,248,Cornwall
2015-09-18,315,Dorset
2015-09-18,520,Devon
2015-09-19,372,Dorset
2015-09-19,281,Wiltshire
2015-09-19,138,Gloucestershire
2015-09-19,2316,Trust
2015-09-19,501,BNSSG
2015-09-19,172,Somerset
2015-09-19,286,Cornwall
2015-09-19,562,Devon
2015-09-20,2197,Trust
2015-09-20,178,Somerset
2015-09-20,333,Dorset
2015-09-20,517,Devon
2015-09-20,141,Gloucestershire
2015-09-20,470,BNSSG
2015-09-20,284,Wiltshire
2015-09-20,272,Cornwall
2015-09-21,424,BNSSG
2015-09-21,133,Gloucestershire
2015-09-21,181,Somerset
2015-09-21,307,Dorset
2015-09-21,291,Wiltshire
2015-09-21,221,Cornwall
2015-09-21,2018,Trust
2015-09-21,460,Devon
2015-09-22,172,Somerset
2015-09-22,264,Wiltshire
2015-09-22,309,Dorset
2015-09-22,121,Gloucestershire
2015-09-22,2041,Trust
2015-09-22,236,Cornwall
2015-09-22,434,BNSSG
2015-09-22,501,Devon
2015-09-23,152,Gloucestershire
2015-09-23,331,Dorset
2015-09-23,438,BNSSG
2015-09-23,2100,Trust
2015-09-23,183,Somerset
2015-09-23,506,Devon
2015-09-23,277,Wiltshire
2015-09-23,211,Cornwall
2015-09-24,2073,Trust
2015-09-24,454,BNSSG
2015-09-24,312,Dorset
2015-09-24,137,Gloucestershire
2015-09-24,247,Cornwall
2015-09-24,488,Devon
2015-09-24,272,Wiltshire
2015-09-24,162,Somerset
2015-09-25,482,Devon
2015-09-25,248,Cornwall
2015-09-25,2134,Trust
2015-09-25,133,Gloucestershire
2015-09-25,335,Dorset
2015-09-25,183,Somerset
2015-09-25,275,Wiltshire
2015-09-25,478,BNSSG
2015-09-26,315,Dorset
2015-09-26,300,Wiltshire
2015-09-26,260,Cornwall
2015-09-26,496,BNSSG
2015-09-26,133,Gloucestershire
2015-09-26,562,Devon
2015-09-26,2279,Trust
2015-09-26,212,Somerset
2015-09-27,298,Wiltshire
2015-09-27,196,Somerset
2015-09-27,338,Dorset
2015-09-27,157,Gloucestershire
2015-09-27,247,Cornwall
2015-09-27,545,Devon
2015-09-27,509,BNSSG
2015-09-27,2294,Trust
2015-09-28,537,Devon
2015-09-28,317,Dorset
2015-09-28,277,Wiltshire
2015-09-28,2151,Trust
2015-09-28,440,BNSSG
2015-09-28,156,Gloucestershire
2015-09-28,230,Cornwall
2015-09-28,193,Somerset
2015-09-29,235,Cornwall
2015-09-29,119,Gloucestershire
2015-09-29,330,Dorset
2015-09-29,194,Somerset
2015-09-29,438,BNSSG
2015-09-29,528,Devon
2015-09-29,257,Wiltshire
2015-09-29,2105,Trust
2015-09-30,127,Gloucestershire
2015-09-30,250,Cornwall
2015-09-30,351,Dorset
2015-09-30,179,Somerset
2015-09-30,2154,Trust
2015-09-30,542,Devon
2015-09-30,265,Wiltshire
2015-09-30,436,BNSSG
2015-10-01,2106,Trust
2015-10-01,264,Wiltshire
2015-10-01,224,Cornwall
2015-10-01,330,Dorset
2015-10-01,533,Devon
2015-10-01,150,Gloucestershire
2015-10-01,435,BNSSG
2015-10-01,167,Somerset
2015-10-02,172,Somerset
2015-10-02,268,Wiltshire
2015-10-02,129,Gloucestershire
2015-10-02,326,Dorset
2015-10-02,244,Cornwall
2015-10-02,464,BNSSG
2015-10-02,512,Devon
2015-10-02,2117,Trust
2015-10-03,292,Wiltshire
2015-10-03,164,Somerset
2015-10-03,2225,Trust
2015-10-03,556,Devon
2015-10-03,348,Dorset
2015-10-03,255,Cornwall
2015-10-03,139,Gloucestershire
2015-10-03,470,BNSSG
2015-10-04,309,Wiltshire
2015-10-04,132,Gloucestershire
2015-10-04,539,Devon
2015-10-04,2278,Trust
2015-10-04,244,Cornwall
2015-10-04,159,Somerset
2015-10-04,400,Dorset
2015-10-04,494,BNSSG
2015-10-05,258,Wiltshire
2015-10-05,130,Gloucestershire
2015-10-05,2177,Trust
2015-10-05,196,Somerset
2015-10-05,347,Dorset
2015-10-05,484,BNSSG
2015-10-05,240,Cornwall
2015-10-05,521,Devon
2015-10-06,325,Dorset
2015-10-06,221,Cornwall
2015-10-06,517,Devon
2015-10-06,277,Wiltshire
2015-10-06,202,Somerset
2015-10-06,142,Gloucestershire
2015-10-06,448,BNSSG
2015-10-06,2133,Trust
2015-10-07,225,Cornwall
2015-10-07,172,Somerset
2015-10-07,491,Devon
2015-10-07,258,Wiltshire
2015-10-07,433,BNSSG
2015-10-07,142,Gloucestershire
2015-10-07,352,Dorset
2015-10-07,2074,Trust
2015-10-08,460,Devon
2015-10-08,271,Wiltshire
2015-10-08,123,Gloucestershire
2015-10-08,162,Somerset
2015-10-08,329,Dorset
2015-10-08,239,Cornwall
2015-10-08,478,BNSSG
2015-10-08,2063,Trust
2015-10-09,129,Gloucestershire
2015-10-09,494,BNSSG
2015-10-09,2148,Trust
2015-10-09,320,Dorset
2015-10-09,281,Wiltshire
2015-10-09,228,Cornwall
2015-10-09,500,Devon
2015-10-09,192,Somerset
2015-10-10,224,Cornwall
2015-10-10,529,BNSSG
2015-10-10,197,Somerset
2015-10-10,369,Dorset
2015-10-10,130,Gloucestershire
2015-10-10,294,Wiltshire
2015-10-10,2301,Trust
2015-10-10,557,Devon
2015-10-11,2325,Trust
2015-10-11,302,Wiltshire
2015-10-11,179,Somerset
2015-10-11,351,Dorset
2015-10-11,517,BNSSG
2015-10-11,265,Cornwall
2015-10-11,139,Gloucestershire
2015-10-11,564,Devon
2015-10-12,300,Wiltshire
2015-10-12,344,Dorset
2015-10-12,468,BNSSG
2015-10-12,227,Cornwall
2015-10-12,2184,Trust
2015-10-12,490,Devon
2015-10-12,203,Somerset
2015-10-12,149,Gloucestershire
2015-10-13,496,Devon
2015-10-13,434,BNSSG
2015-10-13,2026,Trust
2015-10-13,127,Gloucestershire
2015-10-13,175,Somerset
2015-10-13,265,Wiltshire
2015-10-13,303,Dorset
2015-10-13,222,Cornwall
2015-10-14,133,Gloucestershire
2015-10-14,216,Cornwall
2015-10-14,332,Dorset
2015-10-14,2021,Trust
2015-10-14,470,Devon
2015-10-14,152,Somerset
2015-10-14,272,Wiltshire
2015-10-14,446,BNSSG
2015-10-15,244,Cornwall
2015-10-15,139,Gloucestershire
2015-10-15,2106,Trust
2015-10-15,268,Wiltshire
2015-10-15,486,Devon
2015-10-15,344,Dorset
2015-10-15,459,BNSSG
2015-10-15,164,Somerset
2015-10-16,459,BNSSG
2015-10-16,247,Cornwall
2015-10-16,175,Somerset
2015-10-16,319,Dorset
2015-10-16,277,Wiltshire
2015-10-16,2128,Trust
2015-10-16,142,Gloucestershire
2015-10-16,505,Devon
2015-10-17,516,BNSSG
2015-10-17,293,Wiltshire
2015-10-17,520,Devon
2015-10-17,2281,Trust
2015-10-17,209,Somerset
2015-10-17,137,Gloucestershire
2015-10-17,247,Cornwall
2015-10-17,359,Dorset
2015-10-18,2241,Trust
2015-10-18,214,Somerset
2015-10-18,510,BNSSG
2015-10-18,314,Dorset
2015-10-18,254,Cornwall
2015-10-18,308,Wiltshire
2015-10-18,509,Devon
2015-10-18,131,Gloucestershire
2015-10-19,478,BNSSG
2015-10-19,2196,Trust
2015-10-19,137,Gloucestershire
2015-10-19,290,Wiltshire
2015-10-19,240,Cornwall
2015-10-19,538,Devon
2015-10-19,180,Somerset
2015-10-19,332,Dorset
2015-10-20,292,Dorset
2015-10-20,238,Wiltshire
2015-10-20,450,BNSSG
2015-10-20,140,Gloucestershire
2015-10-20,1989,Trust
2015-10-20,208,Cornwall
2015-10-20,469,Devon
2015-10-20,189,Somerset
2015-10-21,140,Gloucestershire
2015-10-21,477,Devon
2015-10-21,447,BNSSG
2015-10-21,2051,Trust
2015-10-21,171,Somerset
2015-10-21,306,Dorset
2015-10-21,273,Wiltshire
2015-10-21,237,Cornwall
2015-10-22,503,Devon
2015-10-22,306,Wiltshire
2015-10-22,311,Dorset
2015-10-22,245,Cornwall
2015-10-22,2124,Trust
2015-10-22,418,BNSSG
2015-10-22,186,Somerset
2015-10-22,155,Gloucestershire
2015-10-23,2188,Trust
2015-10-23,234,Cornwall
2015-10-23,201,Somerset
2015-10-23,145,Gloucestershire
2015-10-23,296,Wiltshire
2015-10-23,512,Devon
2015-10-23,322,Dorset
2015-10-23,478,BNSSG
2015-10-24,271,Cornwall
2015-10-24,345,Dorset
2015-10-24,150,Gloucestershire
2015-10-24,229,Somerset
2015-10-24,587,Devon
2015-10-24,275,Wiltshire
2015-10-24,2321,Trust
2015-10-24,464,BNSSG
2015-10-25,340,Dorset
2015-10-25,197,Somerset
2015-10-25,125,Gloucestershire
2015-10-25,2231,Trust
2015-10-25,261,Cornwall
2015-10-25,491,Devon
2015-10-25,325,Wiltshire
2015-10-25,487,BNSSG
2015-10-26,490,Devon
2015-10-26,175,Somerset
2015-10-26,243,Cornwall
2015-10-26,2148,Trust
2015-10-26,271,Wiltshire
2015-10-26,333,Dorset
2015-10-26,492,BNSSG
2015-10-26,142,Gloucestershire
2015-10-27,138,Gloucestershire
2015-10-27,2007,Trust
2015-10-27,438,BNSSG
2015-10-27,314,Dorset
2015-10-27,177,Somerset
2015-10-27,219,Cornwall
2015-10-27,463,Devon
2015-10-27,256,Wiltshire
2015-10-28,411,BNSSG
2015-10-28,240,Cornwall
2015-10-28,132,Gloucestershire
2015-10-28,515,Devon
2015-10-28,2040,Trust
2015-10-28,297,Dorset
2015-10-28,166,Somerset
2015-10-28,276,Wiltshire
2015-10-29,293,Wiltshire
2015-10-29,314,Dorset
2015-10-29,205,Cornwall
2015-10-29,124,Gloucestershire
2015-10-29,2042,Trust
2015-10-29,218,Somerset
2015-10-29,470,Devon
2015-10-29,418,BNSSG
2015-10-30,259,Cornwall
2015-10-30,2115,Trust
2015-10-30,489,Devon
2015-10-30,434,BNSSG
2015-10-30,278,Wiltshire
2015-10-30,117,Gloucestershire
2015-10-30,202,Somerset
2015-10-30,335,Dorset
2015-10-31,288,Cornwall
2015-10-31,309,Wiltshire
2015-10-31,169,Gloucestershire
2015-10-31,542,Devon
2015-10-31,205,Somerset
2015-10-31,518,BNSSG
2015-10-31,317,Dorset
2015-10-31,2350,Trust
2015-11-01,333,Wiltshire
2015-11-01,264,Cornwall
2015-11-01,129,Gloucestershire
2015-11-01,566,BNSSG
2015-11-01,219,Somerset
2015-11-01,2458,Trust
2015-11-01,566,Devon
2015-11-01,380,Dorset
2015-11-02,154,Somerset
2015-11-02,344,Dorset
2015-11-02,444,BNSSG
2015-11-02,141,Gloucestershire
2015-11-02,294,Wiltshire
2015-11-02,229,Cornwall
2015-11-02,534,Devon
2015-11-02,2141,Trust
2015-11-03,296,Wiltshire
2015-11-03,2036,Trust
2015-11-03,430,BNSSG
2015-11-03,132,Gloucestershire
2015-11-03,296,Dorset
2015-11-03,486,Devon
2015-11-03,167,Somerset
2015-11-03,228,Cornwall
2015-11-04,126,Gloucestershire
2015-11-04,192,Somerset
2015-11-04,2078,Trust
2015-11-04,484,Devon
2015-11-04,221,Cornwall
2015-11-04,297,Wiltshire
2015-11-04,428,BNSSG
2015-11-04,330,Dorset
2015-11-05,213,Cornwall
2015-11-05,290,Wiltshire
2015-11-05,506,Devon
2015-11-05,128,Gloucestershire
2015-11-05,330,Dorset
2015-11-05,171,Somerset
2015-11-05,467,BNSSG
2015-11-05,2106,Trust
2015-11-06,275,Wiltshire
2015-11-06,2141,Trust
2015-11-06,450,BNSSG
2015-11-06,121,Gloucestershire
2015-11-06,542,Devon
2015-11-06,323,Dorset
2015-11-06,222,Cornwall
2015-11-06,204,Somerset
2015-11-07,531,Devon
2015-11-07,337,Dorset
2015-11-07,203,Somerset
2015-11-07,2272,Trust
2015-11-07,517,BNSSG
2015-11-07,240,Cornwall
2015-11-07,178,Gloucestershire
2015-11-07,265,Wiltshire
2015-11-08,480,BNSSG
2015-11-08,523,Devon
2015-11-08,308,Wiltshire
2015-11-08,313,Dorset
2015-11-08,174,Somerset
2015-11-08,2180,Trust
2015-11-08,235,Cornwall
2015-11-08,141,Gloucestershire
2015-11-09,2081,Trust
2015-11-09,488,Devon
2015-11-09,126,Gloucestershire
2015-11-09,221,Cornwall
2015-11-09,177,Somerset
2015-11-09,306,Dorset
2015-11-09,283,Wiltshire
2015-11-09,476,BNSSG
2015-11-10,2025,Trust
2015-11-10,154,Somerset
2015-11-10,135,Gloucestershire
2015-11-10,486,Devon
2015-11-10,260,Wiltshire
2015-11-10,442,BNSSG
2015-11-10,312,Dorset
2015-11-10,236,Cornwall
2015-11-11,474,BNSSG
2015-11-11,230,Cornwall
2015-11-11,2103,Trust
2015-11-11,195,Somerset
2015-11-11,316,Dorset
2015-11-11,134,Gloucestershire
2015-11-11,274,Wiltshire
2015-11-11,479,Devon
2015-11-12,2091,Trust
2015-11-12,323,Dorset
2015-11-12,118,Gloucestershire
2015-11-12,450,BNSSG
2015-11-12,261,Cornwall
2015-11-12,282,Wiltshire
2015-11-12,180,Somerset
2015-11-12,475,Devon
2015-11-13,182,Somerset
2015-11-13,184,Gloucestershire
2015-11-13,258,Wiltshire
2015-11-13,224,Cornwall
2015-11-13,463,BNSSG
2015-11-13,486,Devon
2015-11-13,2140,Trust
2015-11-13,341,Dorset
2015-11-14,316,Wiltshire
2015-11-14,270,Cornwall
2015-11-14,173,Gloucestershire
2015-11-14,506,BNSSG
2015-11-14,513,Devon
2015-11-14,2318,Trust
2015-11-14,345,Dorset
2015-11-14,193,Somerset
2015-11-15,2340,Trust
2015-11-15,352,Dorset
2015-11-15,503,Devon
2015-11-15,153,Gloucestershire
2015-11-15,264,Cornwall
2015-11-15,202,Somerset
2015-11-15,324,Wiltshire
2015-11-15,541,BNSSG
2015-11-16,154,Gloucestershire
2015-11-16,492,Devon
2015-11-16,480,BNSSG
2015-11-16,2158,Trust
2015-11-16,331,Dorset
2015-11-16,302,Wiltshire
2015-11-16,194,Cornwall
2015-11-16,202,Somerset
2015-11-17,309,Dorset
2015-11-17,478,Devon
2015-11-17,231,Cornwall
2015-11-17,440,BNSSG
2015-11-17,2086,Trust
2015-11-17,284,Wiltshire
2015-11-17,148,Gloucestershire
2015-11-17,195,Somerset
2015-11-18,478,Devon
2015-11-18,145,Gloucestershire
2015-11-18,162,Somerset
2015-11-18,247,Cornwall
2015-11-18,266,Wiltshire
2015-11-18,317,Dorset
2015-11-18,477,BNSSG
2015-11-18,2093,Trust
2015-11-19,256,Wiltshire
2015-11-19,2072,Trust
2015-11-19,312,Dorset
2015-11-19,479,Devon
2015-11-19,226,Cornwall
2015-11-19,123,Gloucestershire
2015-11-19,198,Somerset
2015-11-19,477,BNSSG
2015-11-20,500,Devon
2015-11-20,322,Wiltshire
2015-11-20,2194,Trust
2015-11-20,230,Cornwall
2015-11-20,489,BNSSG
2015-11-20,184,Somerset
2015-11-20,138,Gloucestershire
2015-11-20,329,Dorset
2015-11-21,2298,Trust
2015-11-21,543,BNSSG
2015-11-21,296,Wiltshire
2015-11-21,241,Cornwall
2015-11-21,128,Gloucestershire
2015-11-21,527,Devon
2015-11-21,203,Somerset
2015-11-21,359,Dorset
2015-11-22,271,Cornwall
2015-11-22,349,Dorset
2015-11-22,223,Somerset
2015-11-22,507,BNSSG
2015-11-22,2320,Trust
2015-11-22,531,Devon
2015-11-22,133,Gloucestershire
2015-11-22,302,Wiltshire
2015-11-23,146,Gloucestershire
2015-11-23,2221,Trust
2015-11-23,227,Cornwall
2015-11-23,351,Dorset
2015-11-23,479,BNSSG
2015-11-23,216,Somerset
2015-11-23,534,Devon
2015-11-23,267,Wiltshire
2015-11-24,446,BNSSG
2015-11-24,203,Somerset
2015-11-24,304,Wiltshire
2015-11-24,330,Dorset
2015-11-24,2176,Trust
2015-11-24,147,Gloucestershire
2015-11-24,509,Devon
2015-11-24,233,Cornwall
2015-11-25,187,Somerset
2015-11-25,2237,Trust
2015-11-25,488,BNSSG
2015-11-25,241,Cornwall
2015-11-25,294,Wiltshire
2015-11-25,122,Gloucestershire
2015-11-25,553,Devon
2015-11-25,350,Dorset
2015-11-26,556,Devon
2015-11-26,218,Cornwall
2015-11-26,488,BNSSG
2015-11-26,188,Somerset
2015-11-26,355,Dorset
2015-11-26,118,Gloucestershire
2015-11-26,282,Wiltshire
2015-11-26,2207,Trust
2015-11-27,518,Devon
2015-11-27,188,Somerset
2015-11-27,152,Gloucestershire
2015-11-27,250,Cornwall
2015-11-27,488,BNSSG
2015-11-27,368,Dorset
2015-11-27,266,Wiltshire
2015-11-27,2231,Trust
2015-11-28,2338,Trust
2015-11-28,148,Gloucestershire
2015-11-28,201,Somerset
2015-11-28,362,Dorset
2015-11-28,488,BNSSG
2015-11-28,245,Cornwall
2015-11-28,306,Wiltshire
2015-11-28,587,Devon
2015-11-29,510,BNSSG
2015-11-29,218,Somerset
2015-11-29,512,Devon
2015-11-29,2244,Trust
2015-11-29,255,Cornwall
2015-11-29,307,Wiltshire
2015-11-29,127,Gloucestershire
2015-11-29,314,Dorset
2015-11-30,146,Gloucestershire
2015-11-30,2277,Trust
2015-11-30,306,Wiltshire
2015-11-30,228,Somerset
2015-11-30,325,Dorset
2015-11-30,496,BNSSG
2015-11-30,242,Cornwall
2015-11-30,533,Devon
2015-12-01,2193,Trust
2015-12-01,241,Cornwall
2015-12-01,526,Devon
2015-12-01,291,Wiltshire
2015-12-01,456,BNSSG
2015-12-01,144,Gloucestershire
2015-12-01,330,Dorset
2015-12-01,205,Somerset
2015-12-02,318,Wiltshire
2015-12-02,488,Devon
2015-12-02,191,Somerset
2015-12-02,449,BNSSG
2015-12-02,329,Dorset
2015-12-02,206,Cornwall
2015-12-02,161,Gloucestershire
2015-12-02,2145,Trust
2015-12-03,217,Cornwall
2015-12-03,2140,Trust
2015-12-03,174,Somerset
2015-12-03,525,Devon
2015-12-03,300,Dorset
2015-12-03,152,Gloucestershire
2015-12-03,309,Wiltshire
2015-12-03,460,BNSSG
2015-12-04,232,Cornwall
2015-12-04,336,Dorset
2015-12-04,204,Somerset
2015-12-04,2193,Trust
2015-12-04,307,Wiltshire
2015-12-04,148,Gloucestershire
2015-12-04,494,Devon
2015-12-04,471,BNSSG
2015-12-05,257,Cornwall
2015-12-05,559,Devon
2015-12-05,356,Dorset
2015-12-05,222,Somerset
2015-12-05,564,BNSSG
2015-12-05,2459,Trust
2015-12-05,338,Wiltshire
2015-12-05,158,Gloucestershire
2015-12-06,361,Wiltshire
2015-12-06,276,Cornwall
2015-12-06,341,Dorset
2015-12-06,2425,Trust
2015-12-06,562,BNSSG
2015-12-06,541,Devon
2015-12-06,195,Somerset
2015-12-06,147,Gloucestershire
2015-12-07,251,Cornwall
2015-12-07,210,Somerset
2015-12-07,162,Gloucestershire
2015-12-07,488,BNSSG
2015-12-07,2358,Trust
2015-12-07,338,Wiltshire
2015-12-07,588,Devon
2015-12-07,320,Dorset
2015-12-08,294,Wiltshire
2015-12-08,505,BNSSG
2015-12-08,343,Dorset
2015-12-08,134,Gloucestershire
2015-12-08,2203,Trust
2015-12-08,194,Somerset
2015-12-08,510,Devon
2015-12-08,222,Cornwall
2015-12-09,349,Dorset
2015-12-09,122,Gloucestershire
2015-12-09,2093,Trust
2015-12-09,210,Cornwall
2015-12-09,508,Devon
2015-12-09,292,Wiltshire
2015-12-09,167,Somerset
2015-12-09,441,BNSSG
2015-12-10,294,Dorset
2015-12-10,329,Wiltshire
2015-12-10,500,Devon
2015-12-10,211,Somerset
2015-12-10,2178,Trust
2015-12-10,240,Cornwall
2015-12-10,137,Gloucestershire
2015-12-10,463,BNSSG
2015-12-11,531,Devon
2015-12-11,192,Somerset
2015-12-11,303,Wiltshire
2015-12-11,215,Cornwall
2015-12-11,314,Dorset
2015-12-11,2183,Trust
2015-12-11,468,BNSSG
2015-12-11,157,Gloucestershire
2015-12-12,2365,Trust
2015-12-12,370,Dorset
2015-12-12,564,Devon
2015-12-12,229,Cornwall
2015-12-12,151,Gloucestershire
2015-12-12,538,BNSSG
2015-12-12,309,Wiltshire
2015-12-12,202,Somerset
2015-12-13,273,Cornwall
2015-12-13,331,Wiltshire
2015-12-13,204,Somerset
2015-12-13,562,Devon
2015-12-13,169,Gloucestershire
2015-12-13,2406,Trust
2015-12-13,511,BNSSG
2015-12-13,352,Dorset
2015-12-14,151,Gloucestershire
2015-12-14,2244,Trust
2015-12-14,232,Cornwall
2015-12-14,215,Somerset
2015-12-14,516,BNSSG
2015-12-14,526,Devon
2015-12-14,276,Wiltshire
2015-12-14,324,Dorset
2015-12-15,257,Cornwall
2015-12-15,188,Somerset
2015-12-15,149,Gloucestershire
2015-12-15,306,Dorset
2015-12-15,481,BNSSG
2015-12-15,555,Devon
2015-12-15,291,Wiltshire
2015-12-15,2229,Trust
2015-12-16,481,BNSSG
2015-12-16,332,Dorset
2015-12-16,212,Somerset
2015-12-16,132,Gloucestershire
2015-12-16,285,Wiltshire
2015-12-16,509,Devon
2015-12-16,220,Cornwall
2015-12-16,2173,Trust
2015-12-17,525,Devon
2015-12-17,303,Wiltshire
2015-12-17,2198,Trust
2015-12-17,333,Dorset
2015-12-17,259,Cornwall
2015-12-17,196,Somerset
2015-12-17,144,Gloucestershire
2015-12-17,435,BNSSG
2015-12-18,180,Somerset
2015-12-18,326,Wiltshire
2015-12-18,350,Dorset
2015-12-18,2308,Trust
2015-12-18,246,Cornwall
2015-12-18,142,Gloucestershire
2015-12-18,490,BNSSG
2015-12-18,573,Devon
2015-12-19,2475,Trust
2015-12-19,584,Devon
2015-12-19,571,BNSSG
2015-12-19,358,Dorset
2015-12-19,172,Gloucestershire
2015-12-19,255,Cornwall
2015-12-19,336,Wiltshire
2015-12-19,197,Somerset
2015-12-20,314,Wiltshire
2015-12-20,163,Gloucestershire
2015-12-20,540,BNSSG
2015-12-20,537,Devon
2015-12-20,353,Dorset
2015-12-20,2395,Trust
2015-12-20,209,Somerset
2015-12-20,277,Cornwall
2015-12-21,287,Wiltshire
2015-12-21,335,Dorset
2015-12-21,256,Cornwall
2015-12-21,162,Gloucestershire
2015-12-21,161,Somerset
2015-12-21,2197,Trust
2015-12-21,476,BNSSG
2015-12-21,518,Devon
2015-12-22,170,Somerset
2015-12-22,315,Dorset
2015-12-22,501,Devon
2015-12-22,255,Cornwall
2015-12-22,2119,Trust
2015-12-22,485,BNSSG
2015-12-22,260,Wiltshire
2015-12-22,131,Gloucestershire
2015-12-23,448,BNSSG
2015-12-23,236,Cornwall
2015-12-23,137,Gloucestershire
2015-12-23,196,Somerset
2015-12-23,514,Devon
2015-12-23,309,Dorset
2015-12-23,267,Wiltshire
2015-12-23,2110,Trust
2015-12-24,329,Dorset
2015-12-24,277,Wiltshire
2015-12-24,169,Somerset
2015-12-24,467,BNSSG
2015-12-24,2149,Trust
2015-12-24,525,Devon
2015-12-24,248,Cornwall
2015-12-24,131,Gloucestershire
2015-12-25,446,BNSSG
2015-12-25,228,Somerset
2015-12-25,2163,Trust
2015-12-25,121,Gloucestershire
2015-12-25,286,Wiltshire
2015-12-25,272,Cornwall
2015-12-25,494,Devon
2015-12-25,313,Dorset
2015-12-26,319,Wiltshire
2015-12-26,214,Somerset
2015-12-26,374,Dorset
2015-12-26,2396,Trust
2015-12-26,507,BNSSG
2015-12-26,556,Devon
2015-12-26,256,Cornwall
2015-12-26,167,Gloucestershire
2015-12-27,544,BNSSG
2015-12-27,297,Cornwall
2015-12-27,354,Dorset
2015-12-27,548,Devon
2015-12-27,242,Somerset
2015-12-27,2528,Trust
2015-12-27,361,Wiltshire
2015-12-27,176,Gloucestershire
2015-12-28,2424,Trust
2015-12-28,183,Somerset
2015-12-28,308,Wiltshire
2015-12-28,384,Dorset
2015-12-28,254,Cornwall
2015-12-28,165,Gloucestershire
2015-12-28,541,BNSSG
2015-12-28,586,Devon
2015-12-29,495,BNSSG
2015-12-29,306,Wiltshire
2015-12-29,2290,Trust
2015-12-29,151,Gloucestershire
2015-12-29,205,Somerset
2015-12-29,533,Devon
2015-12-29,329,Dorset
2015-12-29,268,Cornwall
2015-12-30,336,Dorset
2015-12-30,2109,Trust
2015-12-30,425,BNSSG
2015-12-30,276,Wiltshire
2015-12-30,125,Gloucestershire
2015-12-30,187,Somerset
2015-12-30,258,Cornwall
2015-12-30,500,Devon
2015-12-31,525,Devon
2015-12-31,2140,Trust
2015-12-31,475,BNSSG
2015-12-31,297,Dorset
2015-12-31,208,Somerset
2015-12-31,213,Cornwall
2015-12-31,143,Gloucestershire
2015-12-31,271,Wiltshire
2016-01-01,434,Dorset
2016-01-01,702,Devon
2016-01-01,195,Gloucestershire
2016-01-01,331,Cornwall
2016-01-01,352,Wiltshire
2016-01-01,662,BNSSG
2016-01-01,2930,Trust
2016-01-01,251,Somerset
2016-01-02,156,Gloucestershire
2016-01-02,352,Wiltshire
2016-01-02,238,Cornwall
2016-01-02,2382,Trust
2016-01-02,557,Devon
2016-01-02,348,Dorset
2016-01-02,194,Somerset
2016-01-02,532,BNSSG
2016-01-03,550,Devon
2016-01-03,2370,Trust
2016-01-03,482,BNSSG
2016-01-03,256,Cornwall
2016-01-03,342,Dorset
2016-01-03,217,Somerset
2016-01-03,330,Wiltshire
2016-01-03,190,Gloucestershire
2016-01-04,301,Wiltshire
2016-01-04,327,Dorset
2016-01-04,534,Devon
2016-01-04,2265,Trust
2016-01-04,178,Somerset
2016-01-04,281,Cornwall
2016-01-04,485,BNSSG
